timestamp(ms),Speed_RPM,Error,
"1705049904.996",,"44.44",
"1705049905.006","59.34",,
"1705049905.008",,"40.66",
"1705049905.018","59.62",,
"1705049905.019",,"40.38",
"1705049905.029","53.96",,
"1705049905.031",,"46.04",
"1705049905.041","53.34",,
"1705049905.042",,"46.66",
"1705049905.052","58.78",,
"1705049905.054",,"41.22",
"1705049905.064","53.27",,
"1705049905.065",,"46.73",
"1705049905.075","52.82",,
"1705049905.077",,"47.18",
"1705049905.086","54.11",,
"1705049905.088",,"45.89",
"1705049905.098","53.04",,
"1705049905.1",,"46.96",
"1705049905.109","52.74",,
"1705049905.111",,"47.26",
"1705049905.121","54.35",,
"1705049905.123",,"45.65",
"1705049905.133","53.8",,
"1705049905.134",,"46.2",
"1705049905.144","59.43",,
"1705049905.146",,"40.57",
"1705049905.156","54.99",,
"1705049905.157",,"45.01",
"1705049905.167","54.43",,
"1705049905.169",,"45.57",
"1705049905.179","60.1",,
"1705049905.18",,"39.9",
"1705049905.19","55.15",,
"1705049905.192",,"44.85",
"1705049905.202","54.27",,
"1705049905.203",,"45.73",
"1705049905.213","60.19",,
"1705049905.215",,"39.81",
"1705049905.225","55.47",,
"1705049905.226",,"44.53",
"1705049905.236","54.27",,
"1705049905.238",,"45.73",
"1705049905.248","59.52",,
"1705049905.249",,"40.48",
"1705049905.259","54.9",,
"1705049905.261",,"45.1",
"1705049905.271","54.11",,
"1705049905.272",,"45.89",
"1705049905.282","59.43",,
"1705049905.284",,"40.57",
"1705049905.293","59.9",,
"1705049905.295",,"40.1",
"1705049905.305","53.96",,
"1705049905.307",,"46.04",
"1705049905.317","59.24",,
"1705049905.319",,"40.76",
"1705049905.328","59.71",,
"1705049905.33",,"40.29",
"1705049905.34","56.05",,
"1705049905.341",,"43.95",
"1705049905.351","59.06",,
"1705049905.353",,"40.94",
"1705049905.363","59.71",,
"1705049905.364",,"40.29",
"1705049905.374","56.05",,
"1705049905.376",,"43.95",
"1705049905.386","53.27",,
"1705049905.387",,"46.73",
"1705049905.397","59.71",,
"1705049905.4",,"40.29",
"1705049905.408","56.05",,
"1705049905.41",,"43.95",
"1705049905.421","52.89",,
"1705049905.422",,"47.11",
"1705049905.431","61.48",,
"1705049905.433",,"38.52",
"1705049905.443","51.87",,
"1705049905.445",,"48.13",
"1705049905.454","52.3",,
"1705049905.456",,"47.7",
"1705049905.466","60.29",,
"1705049905.468",,"39.71",
"1705049905.477","51.09",,
"1705049905.479",,"48.91",
"1705049905.489","51.72",,
"1705049905.49",,"48.28",
"1705049905.5","55.8",,
"1705049905.503",,"44.2",
"1705049905.512","56.48",,
"1705049905.513",,"43.52",
"1705049905.523","51.58",,
"1705049905.525",,"48.42",
"1705049905.535","51.16",,
"1705049905.537",,"48.84",
"1705049905.546","52.3",,
"1705049905.548",,"47.7",
"1705049905.558","51.3",,
"1705049905.559",,"48.7",
"1705049905.569","56.65",,
"1705049905.571",,"43.35",
"1705049905.581","57.25",,
"1705049905.583",,"42.75",
"1705049905.592","51.3",,
"1705049905.594",,"48.7",
"1705049905.604","50.95",,
"1705049905.606",,"49.05",
"1705049905.615","56.99",,
"1705049905.617",,"43.01",
"1705049905.627","53.42",,
"1705049905.629",,"46.58",
"1705049905.638","50.68",,
"1705049905.64",,"49.32",
"1705049905.65","59.34",,
"1705049905.652",,"40.66",
"1705049905.661","50.27",,
"1705049905.663",,"49.73",
"1705049905.673","51.02",,
"1705049905.674",,"48.98",
"1705049905.684","55.39",,
"1705049905.686",,"44.61",
"1705049905.695","55.8",,
"1705049905.697",,"44.2",
"1705049905.707","51.09",,
"1705049905.709",,"48.91",
"1705049905.719","50.68",,
"1705049905.72",,"49.32",
"1705049905.73","52.52",,
"1705049905.731",,"47.48",
"1705049905.741","52.97",,
"1705049905.743",,"47.03",
"1705049905.753","59.43",,
"1705049905.754",,"40.57",
"1705049905.764","55.39",,
"1705049905.766",,"44.61",
"1705049905.775","55.15",,
"1705049905.777",,"44.85",
"1705049905.787","61.58",,
"1705049905.789",,"38.42",
"1705049905.798","57.25",,
"1705049905.8",,"42.75",
"1705049905.81","56.56",,
"1705049905.812",,"43.44",
"1705049905.821","56.05",,
"1705049905.823",,"43.95",
"1705049905.833","57.69",,
"1705049905.835",,"42.31",
"1705049905.844","55.72",,
"1705049905.846",,"44.28",
"1705049905.856","54.82",,
"1705049905.858",,"45.18",
"1705049905.867","59.9",,
"1705049905.869",,"40.1",
"1705049905.879","54.35",,
"1705049905.881",,"45.65",
"1705049905.89","53.65",,
"1705049905.892",,"46.35",
"1705049905.902","54.74",,
"1705049905.903",,"45.26",
"1705049905.913","53.42",,
"1705049905.915",,"46.58",
"1705049905.925","52.67",,
"1705049905.927",,"47.33",
"1705049905.937","54.11",,
"1705049905.938",,"45.89",
"1705049905.948","53.88",,
"1705049905.949",,"46.12",
"1705049905.959","59.71",,
"1705049905.961",,"40.29",
"1705049905.971","55.23",,
"1705049905.973",,"44.77",
"1705049905.983","54.59",,
"1705049905.984",,"45.41",
"1705049905.994","60.48",,
"1705049905.996",,"39.52",
"1705049906.005","56.31",,
"1705049906.007",,"43.69",
"1705049906.017","55.56",,
"1705049906.019",,"44.44",
"1705049906.028","61.58",,
"1705049906.03",,"38.42",
"1705049906.04","56.05",,
"1705049906.042",,"43.95",
"1705049906.052","53.42",,
"1705049906.053",,"46.58",
"1705049906.063","57.34",,
"1705049906.065",,"42.66",
"1705049906.075","51.3",,
"1705049906.076",,"48.7",
"1705049906.087","51.87",,
"1705049906.088",,"48.13",
"1705049906.098","48.58",,
"1705049906.099",,"51.42",
